ext_recipe_id,ingredient_pos,ingredient_text,ingredient_text_norm
1,1,3/4 cup ketchup,3/4 cup ketchup
1,2,1/2 cup beer,1/2 cup beer
1,3,1 tablespoon Worcestershire sauce,1 tablespoon worcestershire sauce
1,4,1/2 teaspoon onion powder,1/2 teaspoon onion powder
1,5,1/4 teaspoon cayenne,1/4 teaspoon cayenne
1,6,2 baking potatoes,2 baking potatoes
1,7,olive oil cooking spray,olive oil cooking spray
1,8,1/2 teaspoon garlic powder,1/2 teaspoon garlic powder
1,9,salt and freshly ground black pepper,salt and freshly ground black pepper
2,1,1 pound pork belly,1 pound pork belly
2,2,1/4 cup gochujang,1/4 cup gochujang
2,3,2 tablespoons soy sauce,2 tablespoons soy sauce
2,4,"1 tablespoon honey,","1 tablespoon honey,"
2,5,1 teaspoon ground ginger,1 teaspoon ground ginger
3,1,1 ¼ pounds chicken tenders,1 ¼ pounds chicken tenders
3,2,1 tablespoon olive oil,1 tablespoon olive oil
3,3,1/3 cup everything bagel seasoning or to taste,1/3 cup everything bagel seasoning or to taste
4,1,4 chicken cutlets (about 1 pound total),4 chicken cutlets (about 1 pound total)
4,2,salt and freshly ground black pepper to taste,salt and freshly ground black pepper to taste
4,3,3/4 cup all-purpose flour,3/4 cup all-purpose flour
4,4,2 large eggs,2 large eggs
4,5,2 tablespoons milk,2 tablespoons milk
4,6,3 ablespoons verything Bagel seasoning,3 ablespoons verything bagel seasoning
4,7,1 1/2 cups panko breadcrumbs,1 1/2 cups panko breadcrumbs
4,8,olive oil cooking spray,olive oil cooking spray
4,9,parchment,parchment
5,1,1 tablespoon soy sauce,1 tablespoon soy sauce
5,2,1 tablespoon honey,1 tablespoon honey
5,3,1 tablespoon Sriracha,1 tablespoon sriracha
5,4,1 teaspoon rice vinegar,1 teaspoon rice vinegar
5,5,1/4 teaspoon granulated garlic,1/4 teaspoon granulated garlic
6,1,¼ cup mayonnaise,¼ cup mayonnaise
6,2,2 teaspoons crumbled cotija cheese,2 teaspoons crumbled cotija cheese
6,3,1 teaspoon lime juice,1 teaspoon lime juice
6,4,¼ teaspoon chili powder,¼ teaspoon chili powder
6,5,"2 ears corn, shucked and halved","2 ears corn, shucked and halved"
6,6,"4 sprigs fresh cilantro, or to taste (Optional)","4 sprigs fresh cilantro, or to taste (optional)"
7,1,2 tablespoons Thai sweet chili sauce,2 tablespoons thai sweet chili sauce
7,2,1 tablespoon soy sauce,1 tablespoon soy sauce
7,3,1 tablespoon Sriracha,1 tablespoon sriracha
7,4,"1 lime, zested and juiced","1 lime, zested and juiced"
7,5,1 teaspoon granulated garlic,1 teaspoon granulated garlic
7,6,1 tablespoon fresh ginger,1 tablespoon fresh ginger
7,7,1/3 cup creamy peanut butter,1/3 cup creamy peanut butter
7,8,salt to taste,salt to taste
7,9,"6 skinless, boneless chicken thighs","6 skinless, boneless chicken thighs"
7,10,cooking spray,cooking spray
7,11,"2 cups cooked rice, or as needed","2 cups cooked rice, or as needed"
7,12,chopped cilantro,chopped cilantro
7,13,dry-roasted peanuts,dry-roasted peanuts
8,1,1/4 cup all-purpose flour,1/4 cup all-purpose flour
8,2,1/2 teaspoon cayenne pepper,1/2 teaspoon cayenne pepper
8,3,"1/4 teaspoon salt, or to taste","1/4 teaspoon salt, or to taste"
8,4,1 onion,1 onion
8,5,cooking spray,cooking spray
9,1,nonstick cooking spray,nonstick cooking spray
9,2,"2 tablespoons butter,","2 tablespoons butter,"
9,3,"3 tablespoons hot honey, such as Mike's Hot Honey®","3 tablespoons hot honey, such as mike's hot honey®"
9,4,1 pound baby carrots,1 pound baby carrots
10,1,1 large onion,1 large onion
10,2,1 1/2 teaspoons olive oil,1 1/2 teaspoons olive oil
10,3,salt and freshly ground black pepper,salt and freshly ground black pepper
11,1,1 (8 ounce) box manicotti pasta,1 (8 ounce) box manicotti pasta
11,2,1 pound ground beef,1 pound ground beef
11,3,1 packet taco seasoning,1 packet taco seasoning
11,4,4 ounces green chiles,4 ounces green chiles
11,5,"1 10 ounce) can tomatoes with green chiles, such as RO*TEL®, drained","1 10 ounce) can tomatoes with green chiles, such as ro*tel®, drained"
11,6,2 cups shredded Cheddar cheese,2 cups shredded cheddar cheese
11,7,3 large eggs,3 large eggs
11,8,2 tablespoons milk or half-and-half,2 tablespoons milk or half-and-half
11,9,3 cups tortilla chips,3 cups tortilla chips
11,10,"salsa, hot sauce, sour cream, and/or guacamole","salsa, hot sauce, sour cream, and/or guacamole"
12,1,8 ounces cream cheese,8 ounces cream cheese
12,2,1/2 cup confectioners sugar,1/2 cup confectioners sugar
12,3,"8 tablespoons butter,","8 tablespoons butter,"
12,4,1 teaspoon vanilla extract,1 teaspoon vanilla extract
12,5,1 teaspoon lemon juice,1 teaspoon lemon juice
12,6,1/8 teaspoon salt,1/8 teaspoon salt
12,7,12 slider rolls,12 slider rolls
12,8,3/4 cup white sugar,3/4 cup white sugar
12,9,1 tablespoon ground cinnamon,1 tablespoon ground cinnamon
13,1,2 English muffins,2 english muffins
13,2,2 (5-ounce) cans tuna,2 (5-ounce) cans tuna
13,3,3 tablespoons mayonnaise,3 tablespoons mayonnaise
13,4,1 tablespoon mustard,1 tablespoon mustard
13,5,3 tablespoons celery,3 tablespoons celery
13,6,1 tablespoon onion,1 tablespoon onion
13,7,salt and freshly ground black pepper to taste,salt and freshly ground black pepper to taste
13,8,4 slices provolone cheese,4 slices provolone cheese
13,9,4 slices Cheddar cheese,4 slices cheddar cheese
14,1,1/2 cup extra virgin olive oil,1/2 cup extra virgin olive oil
14,2,"1 lemon, zested and juiced","1 lemon, zested and juiced"
14,3,1 teaspoon kosher salt,1 teaspoon kosher salt
14,4,1/2 teaspoon ground black pepper,1/2 teaspoon ground black pepper
14,5,2 cloves garlic,2 cloves garlic
14,6,1 teaspoon fresh oregano,1 teaspoon fresh oregano
14,7,1 teaspoon fresh mint,1 teaspoon fresh mint
14,8,2 teaspoons fresh rosemary,2 teaspoons fresh rosemary
14,9,3 teaspoons fresh parsley,3 teaspoons fresh parsley
14,10,4 (1/2-inch-thick) lamb loin chops,4 (1/2-inch-thick) lamb loin chops
15,1,2 teaspoons pesto,2 teaspoons pesto
15,2,1/4 teaspoon garlic powder,1/4 teaspoon garlic powder
15,3,1 pound boneless chicken breasts,1 pound boneless chicken breasts
15,4,2 teaspoons olive oil,2 teaspoons olive oil
15,5,1/8 teaspoon crushed red pepper flakes,1/8 teaspoon crushed red pepper flakes
15,6,1/8 teaspoon salt,1/8 teaspoon salt
15,7,1/8 teaspoon ground black pepper,1/8 teaspoon ground black pepper
15,8,"1 zucchini,","1 zucchini,"
15,9,nonstick cooking spray,nonstick cooking spray
15,10,2 cups cooked quinoa (see Note),2 cups cooked quinoa (see note)
15,11,"10 basil leaves,","10 basil leaves,"
15,12,"1 cup grape tomatoes,","1 cup grape tomatoes,"
15,13,1/4 cup feta cheese,1/4 cup feta cheese
16,1,1 pound salmon,1 pound salmon
16,2,1 teaspoon olive oil,1 teaspoon olive oil
16,3,1/2 teaspoon paprika,1/2 teaspoon paprika
16,4,1/4 teaspoon salt,1/4 teaspoon salt
16,5,1/8 teaspoon black pepper,1/8 teaspoon black pepper
16,6,1/4 cup honey mustard,1/4 cup honey mustard
17,1,1 pound salmon filet,1 pound salmon filet
17,2,2 teaspoons Dijon mustard,2 teaspoons dijon mustard
17,3,1 teaspoon honey,1 teaspoon honey
17,4,1/2 teaspoon salt,1/2 teaspoon salt
17,5,1/4 teaspoon black pepper,1/4 teaspoon black pepper
18,1,1 pound salmon fillet,1 pound salmon fillet
